classA:
P0(10 students),FLVT,FLHI,XUVL,KPDR,XPRX,OOUJ,GRUX,JTGA,ELOG,SESY,
P1(15 students),YFND,BMGG,PIAM,KSJK,ELJF,XIWS,OSMF,LJXB,ROEY,SHAO,SYKJ,CRBN,FQXD,KYBD,EHLG,
P2(15 students),KHON,TRTO,ERYY,OXPC,BNKA,VEFW,RKWU,QTQI,RBTE,IGBG,NXBK,XDSX,KBOV,LBJT,EURX,
classB:
P0(8 students),SYKJ,ELJF,WEJQ,ROEY,VLCB,FWPJ,MCAJ,BNKA,
P1(15 students),VWUJ,WRDS,CXCR,GRUX,JHPS,ERYY,XVXO,XPRX,VCFP,TRTO,OLSW,QTQI,CQBT,NGEB,FHEO,
P2(13 students),KUKE,KSJK,OJBU,SHAO,GNAS,OOUJ,XIWS,QFAI,AVEN,HJUR,IEHI,EBTN,VEYE,
classC:
P0(15 students),GNAS,IGBG,AKXM,OSMF,TNVC,RBTE,CQBT,VFEA,OXPC,YFND,EURX,JHPS,BMGG,NSCY,CXCR,
P1(15 students),RKWU,WJRK,QFAI,UFHH,RPGC,LBJT,NXBK,OJBU,VEFW,MUML,RHBB,JOXS,AVEN,CHNI,IIFW,
P2(10 students),CRBN,MCAJ,TKSW,LJXB,XEGO,SCBI,VCFP,UGEL,XUVL,ELJF,
classD:
P0(15 students),SCBI,NGEB,AVEN,IIFW,MUML,TKSW,FHEO,FQXD,XEGO,VEFW,KSJK,UGEL,VWUJ,ERYY,LJXB,
P1(10 students),EURX,KUKE,KHON,HJUR,ELOG,VEYE,VFEA,OXPC,GNAS,RBTE,
P2(12 students),EHLG,NSCY,TNVC,RPGC,OSMF,WEJQ,XPRX,FLHI,YFND,SYKJ,AKXM,ROEY,
classE:
P0(12 students),LBJT,VCFP,NXBK,QTQI,JOXS,QFAI,WRDS,IEHI,XDSX,RKWU,KBOV,OJBU,
P1(8 students),VLCB,EBTN,SESY,JTGA,IGBG,XUVL,KPDR,BNKA,
P2(13 students),CQBT,PIAM,CHNI,OLSW,XVXO,FLVT,FWPJ,WJRK,RHBB,KYBD,UFHH,GRUX,CXCR,
classF:
P0(15 students),SHAO,XIWS,RHBB,HJUR,KYBD,VEYE,CRBN,CHNI,TRTO,OLSW,EBTN,KUKE,EHLG,KHON,PIAM,
P1(15 students),FWPJ,UGEL,IEHI,XDSX,OOUJ,KBOV,FLHI,AKXM,WEJQ,MCAJ,FLVT,XEGO,SCBI,TKSW,NSCY,
P2(15 students),JTGA,MUML,VFEA,FHEO,FQXD,ELOG,VWUJ,BMGG,SESY,IIFW,NGEB,JHPS,VLCB,KPDR,WRDS,
